carretera,existing_station_count
A-1,187
A-10,3
A-11,4
A-12,16
A-13,13
A-15,37
A-1A,1
A-2,363
A-21,4
A-22,10
A-23,35
A-26,5
A-27,11
A-3,152
A-30,124
A-31,103
A-32,10
A-33,1
A-35,9
A-38,2
A-381,6
A-384,1
A-4,315
A-40,17
A-41,7
A-42,118
A-43,9
A-44,18
A-45,19
A-48,16
A-49,35
A-4A,1
A-4R1,3
A-4R2,6
A-5,86
A-50,15
A-52,10
A-54,5
A-55,34
A-5R,1
A-6,123
A-62,56
A-63,3
A-64,10
A-65,8
A-66,75
A-67,16
A-68,45
A-7,221
A-70,55
A-77A,12
A-7S,234
A-8,94
A-92,72
A-92M,2
A-92N,11
AC-11,19
AC-12,9
AC-14,12
AC-15,5
AI-81,3
AP-1,36
AP-15,15
AP-2,13
AP-4,17
AP-41,5
AP-46,2
AP-53,2
AP-6,20
AP-61,8
AP-66,3
AP-68,39
AP-7N,359
AP-7R,1
AP-7S,45
AP-8,46
AP-9,11
AP-9F,1
AP-9V,8
AS-392,1
AV-20,11
Acceso Aeropuerto de León,2
Acceso Puerto de Valencia,2
Acceso RRT León - Clasificación,3
Acceso RRT Valencia - Fonteta de Sant Lluis,10
B-10,382
B-20,285
B-22,11
B-23,45
B-24,2
B-30,12
B-40,14
BA-20,19
BI-10,47
BI-30,38
BU-11,27
BU-30,6
C-16,88
C-162,4
C-17,3
C-25,60
C-31,12
C-33,25
C-58,65
CA-31,2
CA-32,8
CA-33,10
CA-34,1
CA-35,15
CA-36,8
CO-31,10
CS-22,25
CT-31,6
CT-33,1
CT-34,6
CV-80,6
EL-20,1
EX-A1,11
Enlace AP-7/A-2 (Martorell),6
FE-12,3
FE-13,9
FE-14,1
FE-15,1
GC-1,69
GC-1 AM,70
GI-20,38
GI-636,18
GI-636-K,1
GJ-10,6
GJ-81,16
GR-30,107
H-30,27
H-31,5
LE-11,1
LE-20,6
LE-30,1
LL-11,6
LL-12,23
LO-20,26
LU-11,1
M-11,20
M-12,7
M-13,1
M-14,1
M-21,31
M-22,3
M-23,112
M-30,78
M-31,7
M-40,180
M-50,133
MA-20,45
MA-22,44
MA-23,4
MA-24,1
MU-30,18
MU-31,4
Ma-13,118
Ma-19,108
Ma-20,14
Ma-3460,8
N-1,36
N-110,31
N-111,4
N-113,7
N-120,65
N-120A,3
N-121,16
N-121-A,5
N-122,48
N-124,6
N-125,2
N-145,1
N-152,5
N-154,2
N-156,3
N-1A,21
N-1R,2
N-2,64
N-211,7
N-211A,1
N-220,8
N-223,5
N-225,8
N-230,17
N-232,47
N-232A,4
N-232B,1
N-234,28
N-234A,2
N-235,1
N-240,59
N-240A,2
N-260,60
N-260A,4
N-2A,22
N-3,19
N-301,32
N-310,13
N-320,13
N-322,40
N-322A,3
N-323,16
N-323A,2
N-325,11
N-330,56
N-330A,14
N-331,25
N-332,215
N-334,12
N-337,13
N-337A,1
N-338,1
N-340,308
N-340A,39
N-341,1
N-344,13
N-345,1
N-347AL,2
N-349,1
N-350,6
N-351,8
N-352,1
N-357,1
N-4,20
N-400,4
N-401,4
N-401A,2
N-403,16
N-403A,3
N-420,45
N-420A,12
N-430,31
N-430A,5
N-430C,5
N-431,9
N-432,39
N-432A,3
N-433,7
N-435,9
N-437,12
N-442,7
N-4A,8
N-5,16
N-501,6
N-502,4
N-502A,13
N-521,20
N-523,3
N-525,37
N-532,2
N-536,4
N-540,4
N-541,7
N-547,2
N-550,19
N-552,2
N-554,1
N-5A,2
N-6,56
N-601,32
N-603,3
N-610,3
N-610A,7
N-611,36
N-620,7
N-620A,4
N-621,2
N-622,10
N-623,5
N-625,8
N-629,6
N-630,138
N-630A,10
N-631,1
N-632,28
N-632A,10
N-633,16
N-634,129
N-634A,1
N-636,2
N-638,3
N-640,22
N-640A,4
N-641,23
N-642,6
N-644,12
N-655,2
NA-2517,2
O-11,20
O-12,19
O-14,12
OU-11,1
P-11,3
P-12,6
PA-30,64
PA-34,11
PO-10,1
PO-11,2
PO-12,1
PT-10,1
R-2,12
R-3,23
R-4,8
R-5,44
RM-15,13
S-10,20
S-20,15
S-30,9
SA-11,21
SA-20,6
SC-11,2
SC-20,36
SE-20,51
SE-30,87
SE-31,11
SE-40,17
SG-20,10
SO-20,1
T-11,23
TF-1,49
TF-2,4
TF-4,29
TF-5,24
TO-20,6
TO-21,1
TO-22,8
TO-23,15
V-11,2
V-21,119
V-23,29
V-30,68
V-31,46
V-31R,8
VA-20,41
VA-30,20
VG-20,13
Z-40,18
ZA-11,5
ZA-12,2
ZA-13,3
ZA-20,15
ZA-925,2
