province_name,tourism_year,provincial_overnight_stays
Albacete,2024,238565.0
Alicante/Alacant,2024,15173025.0
Almería,2024,2187778.0
Araba/Álava,2024,135840.0
Asturias,2024,2885783.0
Ávila,2024,488302.0
Badajoz,2024,267902.0
"Balears, Illes",2024,10935442.0
Barcelona,2024,14613954.0
Bizkaia,2024,1493648.0
Burgos,2024,385473.0
Cáceres,2024,526107.0
Cádiz,2024,5412854.0
Cantabria,2024,2485815.0
Castellón/Castelló,2024,2362485.0
Ciudad Real,2024,180787.0
Córdoba,2024,1561679.0
"Coruña, A",2024,2095154.0
Cuenca,2024,305965.0
Gipuzkoa,2024,1245662.0
Girona,2024,6044561.0
Granada,2024,4113681.0
Guadalajara,2024,150651.0
Huelva,2024,1042633.0
Huesca,2024,1102374.0
Jaén,2024,591119.0
León,2024,565659.0
Lleida,2024,755683.0
Lugo,2024,749507.0
Madrid,2024,12540119.0
Málaga,2024,22515737.0
Murcia,2024,2100253.0
Navarra,2024,714538.0
Ourense,2024,319021.0
Palencia,2024,56533.0
"Palmas, Las",2024,14379437.0
Pontevedra,2024,2408964.0
"Rioja, La",2024,648684.0
Salamanca,2024,575256.0
Santa Cruz de Tenerife,2024,12513506.0
Segovia,2024,324253.0
Sevilla,2024,6657111.0
Soria,2024,177279.0
Tarragona,2024,4230892.0
Teruel,2024,367382.0
Toledo,2024,862775.0
Valencia/València,2024,7966382.0
Valladolid,2024,308770.0
Zamora,2024,148046.0
Zaragoza,2024,651301.0
Ceuta,2024,14418.0
Melilla,2024,12799.0
